filepath,split,label_name,label_id
data\intel_Image_classification\seg_train\buildings\0.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10006.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1001.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10014.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10018.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10029.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10032.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10056.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1009.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10113.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1012.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10126.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10144.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10151.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10161.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10165.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10176.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10184.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10185.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10191.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10196.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10198.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10205.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10210.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10228.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10231.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10251.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10252.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10257.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10266.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10278.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1028.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10295.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10303.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10306.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10310.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10312.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10316.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10318.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10328.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10350.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10357.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10362.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10367.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10374.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10383.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10402.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1041.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10421.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10444.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1045.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10452.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10466.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10480.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10485.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10489.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10495.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10499.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10500.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10502.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10511.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10520.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10528.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1055.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10553.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10559.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10570.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10576.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1058.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10582.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10598.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10608.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10620.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10626.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10630.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\1064.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10641.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10646.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10653.jpg,train,buildings,0
data\intel_Image_classification\seg_train\buildings\10656.jpg,train,buildings,0
